Country,GDP
Bangladesh,195078573252.202
Belgium,462335574841.484
Bulgaria,50811995688.6771
Cote d'Ivoire,45815005170.815
Dominican Republic,71164826836.5281
Honduras,20979791685.416
"Korea, Rep.",1466038936206.43
Lithuania,41435533340.3883
North Macedonia,10064519962.5655
Madagascar,11323020701.3017
Paraguay,36211447840.0971
Portugal,199394066525.44
Qatar,161739955576.923
Romania,177883883008.747
Rwanda,8544621756.79813
Sri Lanka,85140955388.8509
Switzerland,694118186379.628
Togo,5755457836.01866
Turkiye,864313810469.009
Uruguay,57680327998.6689
"Yemen, Rep.",42444489460.8016
Zimbabwe,19963120600.0
MCR,814729900000.0
Taiwan,534515000000.0
